BBG Status,Country 2015–2016,SCORE,STATUS
,Afghanistan,62,NF
,Albania,51,PF
,Algeria,62,NF
,Andorra,13,F
,Angola,71,NF
,Antigua and Barbuda,35,PF
,Argentina,50,PF
,Armenia,63,NF
,Australia,23,F
,Austria,23,F
,Azerbaijan,89,NF
,Bahamas,22,F
,Bahrain,87,NF
,Bangladesh,61,NF
,Barbados,18,F
,Belarus,91,NF
,Belgium,11,F
,Belize,22,F
,Benin,38,PF
,Bhutan,58,PF
,Bolivia,49,PF
,Bosnia-Herzegovina,50,PF
,Botswana,45,PF
,Brazil,46,PF
,Brunei,76,NF
,Bulgaria,40,PF
,Burkina Faso,41,PF
,Burundi,80,NF
,Cambodia,69,NF
,Cameroon,65,NF
,Canada,18,F
,Cape Verde,27,F
,Central African Republic,71,NF
,Chad,74,NF
,Chile,29,F
,China,87,NF
,Colombia,56,PF
,Comoros,49,PF
,"Congo, Democratic Republic of (Kinshasa)",78,NF
,"Congo, Republic of (Brazzaville)",59,PF
,Costa Rica,17,F
,Côte d'Ivoire,51,PF
,Crimea,94,NF
,Croatia,42,PF
,Cuba,91,NF
,Cyprus (Greek),24,F
,Cyprus (Turkish),N/A,N/A
,Czech Republic,21,F
,Czechoslovakia,N/A,N/A
,Denmark,12,F
,Djibouti,75,NF
,Dominica,26,F
,Dominican Republic,42,PF
,East Timor,35,PF
,Ecuador,66,NF
,Egypt,77,NF
,El Salvador,39,PF
,Equatorial Guinea,91,NF
,Eritrea,94,NF
,Estonia,16,F
,Ethiopia,83,NF
,Fiji,48,PF
,Finland,11,F
,France,28,F
,Gabon,68,NF
,"Gambia, The",87,NF
,Georgia,49,PF
,Germany,20,F
,"Germany, East",N/A,N/A
,"Germany, West",N/A,N/A
,Ghana,31,PF
,Greece,48,PF
,Grenada,24,F
,Guatemala,58,PF
,Guinea,65,NF
,Guinea-Bissau,60,PF
,Guyana,36,PF
,Haiti,52,PF
,Honduras,67,NF
,Hong Kong,39,PF
,Hungary,40,PF
,Iceland,15,F
,India,41,PF
,Indonesia,49,PF
,Iran,90,NF
,Iraq,71,NF
,Ireland,17,F
,Israel,32,PF
,Israeli-Occupied Territories and Palestinian Authority,N/A,N/A
,Italy,31,PF
,Jamaica,18,F
,Japan,26,F
,Jordan,66,NF
,Kazakhstan,84,NF
,Kenya,58,PF
,Kiribati,30,F
,Kosovo,49,PF
,Kuwait,59,PF
,Kyrgyzstan,67,NF
,Laos,84,NF
,Latvia,28,F
,Lebanon,56,PF
,Lesotho,49,PF
,Liberia,58,PF
,Libya,75,NF
,Liechtenstein,14,F
,Lithuania,23,F
,Luxembourg,13,F
,Macedonia,62,NF
,Madagascar,58,PF
,Malawi,45,PF
,Malaysia,67,NF
,Maldives,58,PF
,Mali,37,PF
,Malta,23,F
,Marshall Islands,17,F
,Mauritania,51,PF
,Mauritius,29,F
,Mexico,64,NF
,Micronesia,21,F
,Moldova,56,PF
,Monaco,15,F
,Mongolia,37,PF
,Montenegro,41,PF
,Morocco,66,NF
,Mozambique,46,PF
,Myanmar,73,NF
,Namibia,33,PF
,Nauru,$41.00,PF
,Nepal,54,PF
,Netherlands,11,F
,New Zealand,20,F
,Nicaragua,54,PF
,Niger,53,PF
,Nigeria,51,PF
,North Korea,97,NF
,Norway,9,F
,Oman,71,NF
,Pakistan,64,NF
,Palau,15,F
,Panama,46,PF
,Papua New Guinea,29,F
,Paraguay,58,PF
,Peru,46,PF
,Philippines,44,PF
,Poland,28,F
,Portugal,18,F
,Qatar,69,NF
,Romania,38,PF
,Russia,83,NF
,Rwanda,79,NF
,Saint Kitts and Nevis,20,F
,Saint Lucia,15,F
,Saint Vincent and the Grenadines,17,F
,Samoa,29,F
,San Marino,16,F
,Sao Tome and Principe,28,F
,Saudi Arabia,86,NF
,Senegal,49,PF
,Serbia,45,PF
,Serbia and Montenegro,N/A,N/A
,Seychelles,49,PF
,Sierra Leone,53,PF
,Singapore,67,NF
,Slovakia,24,F
,Slovenia,23,F
,Solomon Islands,27,F
,Somalia,79,NF
,Somaliland,54,PF
,South Africa,36,PF
,South Korea,33,PF
,South Sudan,66,NF
,Spain,28,F
,Sri Lanka,64,NF
,Sudan,85,NF
,Suriname,28,F
,Swaziland,82,NF
,Sweden,11,F
,Switzerland,13,F
,Syria,90,NF
,Taiwan,26,F
,Tajikistan,83,NF
,Tanzania,55,PF
,Thailand,77,NF
,Togo,60,PF
,Tonga,29,F
,Transkei,N/A,N/A
,Trinidad and Tobago,27,F
,Tunisia,52,PF
,Turkey,71,NF
,Turkmenistan,96,NF
,Tuvalu,27,F
,Uganda,57,PF
,Ukraine,53,PF
,United Arab Emirates,78,NF
,United Kingdom,25,F
,United States,21,F
,Uruguay,25,F
,USSR,N/A,N/A
,Uzbekistan,95,NF
,Vanuatu,25,F
,Venezuela,80,NF
,Vietnam,85,NF
,West Bank and Gaza Strip,83,NF
,Yemen,83,NF
,"Yemen, North",N/A,N/A
,"Yemen, South",N/A,N/A
,Yugoslavia,N/A,N/A
,Zambia,61,NF
,Zimbabwe,74,NF
